  18  17  20  19  22  21  24  23  26  25  28  27  30  29  32  31   1   7   2   4   3   5   8   6   9  15  10  12  11  13  16  14
  17  19  18  21  20  23  22  25  24  27  26  29  28  31  30  32   2   8   3   1   6   4   5   7  10  16  11   9  14  12  13  15
  20  18  22  17  24  19  26  21  28  23  30  25  32  27  31  29   3   5   6   2   7   1   4   8  11  13  14  10  15   9  12  16
  19  21  17  23  18  25  20  27  22  29  24  31  26  32  28  30   4   6   1   5   2   8   7   3  12  14   9  13  10  16  15  11
  22  20  24  18  26  17  28  19  30  21  32  23  31  25  29  27   5   3   4   8   1   7   6   2  13  11  12  16   9  15  14  10
  21  23  19  25  17  27  18  29  20  31  22  32  24  30  26  28   6   4   7   3   8   2   1   5  14  12  15  11  16  10   9  13
  24  22  26  20  28  18  30  17  32  19  31  21  29  23  27  25   7   1   8   6   5   3   2   4  15   9  16  14  13  11  10  12
  23  25  21  27  19  29  17  31  18  32  20  30  22  28  24  26   8   2   5   7   4   6   3   1  16  10  13  15  12  14  11   9
  26  24  28  22  30  20  32  18  31  17  29  19  27  21  25  23   9  15  10  12  11  13  16  14   1   7   2   4   3   5   8   6
  25  27  23  29  21  31  19  32  17  30  18  28  20  26  22  24  10  16  11   9  14  12  13  15   2   8   3   1   6   4   5   7
  28  26  30  24  32  22  31  20  29  18  27  17  25  19  23  21  11  13  14  10  15   9  12  16   3   5   6   2   7   1   4   8
  27  29  25  31  23  32  21  30  19  28  17  26  18  24  20  22  12  14   9  13  10  16  15  11   4   6   1   5   2   8   7   3
  30  28  32  26  31  24  29  22  27  20  25  18  23  17  21  19  13  11  12  16   9  15  14  10   5   3   4   8   1   7   6   2
  29  31  27  32  25  30  23  28  21  26  19  24  17  22  18  20  14  12  15  11  16  10   9  13   6   4   7   3   8   2   1   5
  32  30  31  28  29  26  27  24  25  22  23  20  21  18  19  17  15   9  16  14  13  11  10  12   7   1   8   6   5   3   2   4
  31  32  29  30  27  28  25  26  23  24  21  22  19  20  17  18  16  10  13  15  12  14  11   9   8   2   5   7   4   6   3   1
   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32
   7   8   5   6   3   4   1   2  15  16  13  14  11  12   9  10  18  17  23  24  22  21  19  20  26  25  31  32  30  29  27  28
   2   3   6   1   4   7   8   5  10  11  14   9  12  15  16  13  19  23  21  17  24  20  22  18  27  31  29  25  32  28  30  26
   4   1   2   5   8   3   6   7  12   9  10  13  16  11  14  15  20  24  17  22  19  23  18  21  28  32  25  30  27  31  26  29
   3   6   7   2   1   8   5   4  11  14  15  10   9  16  13  12  21  22  24  19  18  17  20  23  29  30  32  27  26  25  28  31
   5   4   1   8   7   2   3   6  13  12   9  16  15  10  11  14  22  21  20  23  17  18  24  19  30  29  28  31  25  26  32  27
   8   5   4   7   6   1   2   3  16  13  12  15  14   9  10  11  23  19  22  18  20  24  21  17  31  27  30  26  28  32  29  25
   6   7   8   3   2   5   4   1  14  15  16  11  10  13  12   9  24  20  18  21  23  19  17  22  32  28  26  29  31  27  25  30
   9  10  11  12  13  14  15  16   1   2   3   4   5   6   7   8  25  26  27  28  29  30  31  32  17  18  19  20  21  22  23  24
  15  16  13  14  11  12   9  10   7   8   5   6   3   4   1   2  26  25  31  32  30  29  27  28  18  17  23  24  22  21  19  20
  10  11  14   9  12  15  16  13   2   3   6   1   4   7   8   5  27  31  29  25  32  28  30  26  19  23  21  17  24  20  22  18
  12   9  10  13  16  11  14  15   4   1   2   5   8   3   6   7  28  32  25  30  27  31  26  29  20  24  17  22  19  23  18  21
  11  14  15  10   9  16  13  12   3   6   7   2   1   8   5   4  29  30  32  27  26  25  28  31  21  22  24  19  18  17  20  23
  13  12   9  16  15  10  11  14   5   4   1   8   7   2   3   6  30  29  28  31  25  26  32  27  22  21  20  23  17  18  24  19
  16  13  12  15  14   9  10  11   8   5   4   7   6   1   2   3  31  27  30  26  28  32  29  25  23  19  22  18  20  24  21  17
  14  15  16  11  10  13  12   9   6   7   8   3   2   5   4   1  32  28  26  29  31  27  25  30  24  20  18  21  23  19  17  22
